(0,0,1)
(free,1,2)
(1,3,3)
(free,6,4)
(2,10,6)
(free,16,4)
(3,20,9)
(free,29,4)
(4,33,6)
(free,39,2)
(5,41,6)
(free,47,1)
(6,48,1)
(free,49,1)
(7,50,4)
(free,54,4)
(8,58,4)
(free,62,5)
(9,67,3)
(free,70,0)
(10,70,3)
(free,73,7)
(11,80,8)
(free,88,3)
(12,91,1)
(free,92,4)
(13,96,4)
(free,100,7)
(14,107,7)
(free,114,8)
(15,122,2)
(free,124,6)
(16,130,5)
(free,135,0)
(17,135,1)
(free,136,5)
(18,141,4)
(free,145,1)
(19,146,9)
(free,155,9)
(20,164,9)
(free,173,0)
(21,173,4)
(free,177,4)
(22,181,4)
(free,185,4)
(23,189,4)
(free,193,1)
(24,194,8)
(free,202,7)
(25,209,5)
(free,214,4)
(26,218,3)
(free,221,9)
(27,230,3)
(free,233,2)
(28,235,9)
(free,244,8)
(29,252,1)
(free,253,4)
(30,257,2)
(free,259,3)
(31,262,7)
(free,269,0)
(32,269,9)
(free,278,6)
(33,284,5)
(free,289,8)
(34,297,8)
(free,305,4)
(35,309,8)
(free,317,4)
(36,321,9)
(free,330,4)
(37,334,3)
(free,337,4)
(38,341,4)
(free,345,6)
(39,351,8)
(free,359,4)
(40,363,9)
(free,372,9)
(41,381,6)
(free,387,3)
(42,390,2)
(free,392,0)
(43,392,6)
(free,398,3)
(44,401,1)
(free,402,8)
(45,410,6)
(free,416,4)
(46,420,3)
(free,423,0)
(47,423,3)
(free,426,7)
(48,433,3)
(free,436,7)
(49,443,5)
(free,448,8)
(50,456,2)
(free,458,6)
(51,464,1)
(free,465,2)
(52,467,1)
(free,468,2)
(53,470,2)
(free,472,4)
(54,476,6)
(free,482,1)
(55,483,3)
(free,486,1)
(56,487,2)
(free,489,6)
(57,495,9)
(free,504,6)
(58,510,3)
(free,513,8)
(59,521,8)
(free,529,6)
(60,535,2)
(free,537,2)
(61,539,8)
(free,547,9)
(62,556,9)
(free,565,8)
(63,573,2)
(free,575,8)
(64,583,5)
(free,588,1)
(65,589,1)
(free,590,9)
(66,599,9)
(free,608,3)
(67,611,2)
(free,613,8)
(68,621,3)
(free,624,7)
(69,631,6)
(free,637,7)
(70,644,9)
(free,653,9)
(71,662,1)
(free,663,6)
(72,669,8)
(free,677,2)
(73,679,7)
(free,686,9)
(74,695,7)
(free,702,9)
(75,711,5)
(free,716,5)
(76,721,8)
(free,729,2)
(77,731,7)
(free,738,6)
(78,744,5)
(free,749,6)
(79,755,2)
(free,757,3)
(80,760,7)
(free,767,2)
(81,769,6)
(free,775,6)
(82,781,1)
(free,782,1)
(83,783,8)
(free,791,0)
(84,791,1)
(free,792,6)
(85,798,7)
(free,805,3)
(86,808,8)
(free,816,6)
(87,822,6)
(free,828,3)
(88,831,1)
(free,832,8)
(89,840,4)
(free,844,4)
(90,848,8)
(free,856,7)
(91,863,6)
(free,869,5)
(92,874,3)
(free,877,4)
(93,881,1)
(free,882,3)
(94,885,5)
(free,890,1)
(95,891,9)
(free,900,1)
(96,901,8)
(free,909,2)
(97,911,6)
(free,917,7)
(98,924,3)
(free,927,4)
(99,931,9)
(free,940,3)
(100,943,8)
(free,951,7)
(101,958,2)
(free,960,9)
(102,969,5)
(free,974,5)
(103,979,4)
(free,983,9)
(104,992,3)
(free,995,6)
(105,1001,9)
(free,1010,9)
(106,1019,6)
(free,1025,3)
(107,1028,7)
(free,1035,8)
(108,1043,3)
(free,1046,5)
(109,1051,6)
(free,1057,4)
(110,1061,6)
(free,1067,2)
(111,1069,7)
(free,1076,7)
(112,1083,6)
(free,1089,5)
(113,1094,5)
(free,1099,4)
(114,1103,9)
(free,1112,8)
(115,1120,6)
(free,1126,0)
(116,1126,2)
(free,1128,8)
(117,1136,8)
(free,1144,3)
(118,1147,1)
(free,1148,1)
(119,1149,6)
(free,1155,2)
(120,1157,2)
(free,1159,2)
(121,1161,7)
(free,1168,0)
(122,1168,6)
(free,1174,5)
(123,1179,2)
